"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
1997.25,4724.301818,3.47
1997.33,4447.344803,3.27
1997.42,4875.461757,3.58
1997.50,4715.032427,3.45
1997.58,4791.820196,3.51
1997.67,5048.731453,3.69
1997.75,4948.436317,3.62
1997.83,5268.425324,3.85
1997.92,4925.799816,3.59
1998.00,5128.456347,3.74
1998.08,5271.848346,3.84
1998.17,5232.507855,3.81
1998.25,5255.283344,3.83
1998.33,5277.82494,3.84
1998.42,5176.928554,3.77
1998.50,5199.720021,3.78
1998.58,5286.712513,3.84
1998.67,5058.490518,3.66
1998.75,5019.564606,3.63
1998.83,5297.287814,3.83
1998.92,5195.438385,3.75
1999.00,5541.320535,3.99
1999.08,5634.685769,4.05
1999.17,5405.34353,3.90
1999.25,5368.406215,3.86
1999.33,5462.205273,3.93
1999.42,5228.861958,3.75
1999.50,5323.699368,3.82
1999.58,5354.024236,3.84
1999.67,5184.733789,3.71
1999.75,5415.855109,3.87
1999.83,5379.970025,3.84
1999.92,5480.380702,3.91
2000.00,5782.555826,4.06
2000.08,5887.574922,4.13
2000.17,5786.519967,4.06
2000.25,5823.214299,4.08
2000.33,5442.141633,3.82
2000.42,5337.720026,3.74
2000.50,5445.723988,3.83
2000.58,5126.606556,3.60
2000.67,5306.041453,3.72
2000.75,5271.738772,3.70
2000.83,5091.642011,3.56
2000.92,5088,3.55
2001.00,5234,3.64
2001.08,5097,3.55
2001.17,4762,3.31
2001.25,4615,3.21
2001.33,4425,3.09
2001.42,4361,3.04
2001.50,4447,3.10
2001.58,4024,2.81
2001.67,4071,2.83
2001.75,3707,2.57
2001.83,3775,2.62
2001.92,3677,2.55
2002.00,3699,2.57
2002.08,3436,2.38
2002.17,3612,2.50
2002.25,3471,2.40
2002.33,3457,2.39
2002.42,3412,2.36
2002.50,3367,2.33
2002.58,3517,2.43
2002.67,3301,2.27
2002.75,3479,2.39
2002.83,3514,2.42
2002.92,3169,2.18
2003.00,3441,2.36
2003.08,3229,2.21
2003.17,3099,2.12
2003.25,3108,2.12
2003.33,3289,2.25
2003.42,3390,2.31
2003.50,2981,2.04
2003.58,3190,2.18
